timestamp,port,pps,udp_pps,syn_pps,udp_ratio,unique_src_ips,entropy_ip,bps,entropy_port,ack_ratio,fin_ratio,rst_ratio,syn_ratio,icmp_rate,size_entropy,rule_alarm,cusum_alarm,zscore_alarm,final_alarm
1765813892492.0,1,3.0,0.0,0.0,0.0,1,1.584963,1824.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.918296,0,0,0,0
1765813893496.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813893496.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813894500.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813894500.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813895504.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813895504.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813896508.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813896508.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813897512.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813897512.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813898516.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813898516.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813899520.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813899520.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813900525.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813900525.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813901529.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813901529.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813902533.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813902533.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
